Content Type ,Page URL ,Page Title ,Center or Team,Topics,Tags,Collections,Events,Regions,DELETE,UUID
Article,https://milkeninstitute.org/podcast/john-grisham-neal-kassell-focused-ultrasound,"Ep. 121: The Novelist and the Neurologist, with John Grisham and Neal Kassell",,Michael Milken Podcast,"COVID-19, Medical Research",,,,,b2a58e65-0300-4545-bb43-9d83c9bdfdc8
Article,https://milkeninstitute.org/podcast/julie-sweet-accenture-ceo,"Ep. 120: Foresight, with Julie Sweet",,Michael Milken Podcast,"COVID-19, Technology",,,,,d016c623-b4a2-4e02-af35-a3aacac01151
Article,https://milkeninstitute.org/centers/center-for-the-future-of-aging/advisory-board/older-workers-covid-19,COVID-19 and the Future of Aging: What Older Workers Need,Center for the Future of Aging,,"Aging, COVID-19",COVID-19 and the Future of Aging,,,,1eef9992-566a-4732-9ef2-10ad46151793
Article,https://milkeninstitute.org/newsletter/fintech-focus-january-2021,"FinTech in Focus - January 11, 2021",Center for Financial Markets,FinTech in Focus,"FinTech, Cryptocurrency, Policy and Regulation",,,,,83599316-fe7a-4567-995d-940b3c1dd10b
Article,https://milkeninstitute.org/podcast/jennifer-doudna-uc-berkeley-crispr-covid-vaccine,"Ep. 119: Revolutionary, with UC Berkeley's Jennifer Doudna",,Michael Milken Podcast,"COVID-19, Medical Research",,,,,4870b960-5dc2-4ef1-abf9-eaceae25de0e
Report,https://milkeninstitute.org/reports/value-building-interdisciplinary-scientific-workforce-call-philanthropy,The Value of Building an Interdisciplinary Scientific Workforce â€” A Call to Philanthropy,Center for Strategic Philanthropy,Giving Smarter Guides,Medical Research,Giving Smarter Guides,,,,41197181-6de2-43a4-931d-399e1c853689
Article,https://milkeninstitute.org/power-of-ideas/hope-2021/jedd-wider,Jedd Wider,,Power of Ideas,Health and Wellness,Power of Ideas,,,,c9bd397e-67db-4451-9ec7-7b3ff3b93d11
Article,https://milkeninstitute.org/power-of-ideas/hope-2021/vivek-j-tiwary,Vivek J. Tiwary,,Power of Ideas,COVID-19,Power of Ideas,,,,bef268e4-67f4-4a93-9d29-83154d64a946
Article,https://milkeninstitute.org/newsletter/latest-center-future-aging-january-2021,"The Latest from the Center for the Future of Aging - January, 2021",Center for the Future of Aging,,"COVID-19, Social Isolation and Loneliness, Aging",,,,,4fefa2d3-9301-4f9f-b1e1-bb4b1987f7f1
Article,https://milkeninstitute.org/podcast/google-clouds-thomas-kurian-core-values,"Ep. 118: Core Values, with Google Cloud's Thomas Kurian",,Michael Milken Podcast,"COVID-19, Technology, Health and Wellness",,,,,c776dd57-e157-4edc-9e83-d482981cd187
